order_date_col,order categorical feature 1,order categorical feature 2,order categorical feature 3,join_col
1992-02-20,order categorical feature 1 #2,order categorical feature 2 #4433,order categorical feature 3 #36,7041
1992-02-20,order categorical feature 1 #2,order categorical feature 2 #4433,order categorical feature 3 #162,5782
1992-02-20,order categorical feature 1 #2,order categorical feature 2 #2633,order categorical feature 3 #464,3667
1992-02-20,order categorical feature 1 #2,order categorical feature 2 #6100,order categorical feature 3 #231,9041
1992-02-20,order categorical feature 1 #2,order categorical feature 2 #7903,order categorical feature 3 #213,2920
1992-02-20,order categorical feature 1 #2,order categorical feature 2 #2240,order categorical feature 3 #317,7497
1992-02-20,order categorical feature 1 #2,order categorical feature 2 #2240,order categorical feature 3 #303,7319
1992-02-20,order categorical feature 1 #2,order categorical feature 2 #2240,order categorical feature 3 #14,9706
1992-02-20,order categorical feature 1 #2,order categorical feature 2 #5054,order categorical feature 3 #46,2301
1992-02-20,order categorical feature 1 #2,order categorical feature 2 #9112,order categorical feature 3 #219,5085
1992-02-20,order categorical feature 1 #2,order categorical feature 2 #9112,order categorical feature 3 #46,8618
1992-02-20,order categorical feature 1 #2,order categorical feature 2 #9112,order categorical feature 3 #185,2007
1992-02-20,order categorical feature 1 #2,order categorical feature 2 #7622,order categorical feature 3 #469,9016
1992-02-20,order categorical feature 1 #2,order categorical feature 2 #4343,order categorical feature 3 #461,9271
1992-02-20,order categorical feature 1 #2,order categorical feature 2 #7898,order categorical feature 3 #463,6540
1992-02-20,order categorical feature 1 #2,order categorical feature 2 #7898,order categorical feature 3 #122,6122
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #4013,order categorical feature 3 #244,1749
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #4531,order categorical feature 3 #333,4976
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #4531,order categorical feature 3 #428,9585
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #4531,order categorical feature 3 #188,3628
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #3092,order categorical feature 3 #292,277
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #1450,order categorical feature 3 #217,9555
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #2565,order categorical feature 3 #195,4115
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #1742,order categorical feature 3 #359,3192
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #1742,order categorical feature 3 #391,2504
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #1742,order categorical feature 3 #352,730
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #5598,order categorical feature 3 #241,8833
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #4869,order categorical feature 3 #216,792
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #2378,order categorical feature 3 #46,7057
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #2714,order categorical feature 3 #332,4071
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #2714,order categorical feature 3 #352,7262
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #3553,order categorical feature 3 #77,7804
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #7354,order categorical feature 3 #189,9302
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #6679,order categorical feature 3 #346,8889
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #6679,order categorical feature 3 #54,8517
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #8062,order categorical feature 3 #250,3454
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #5087,order categorical feature 3 #20,2468
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #8138,order categorical feature 3 #17,4291
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #8138,order categorical feature 3 #297,9481
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #654,order categorical feature 3 #385,7066
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #5920,order categorical feature 3 #430,4952
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #5496,order categorical feature 3 #50,9457
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #540,order categorical feature 3 #158,8981
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #7037,order categorical feature 3 #283,2352
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #7455,order categorical feature 3 #74,4305
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #7455,order categorical feature 3 #449,8938
1992-02-19,order categorical feature 1 #2,order categorical feature 2 #7455,order categorical feature 3 #36,6521
